Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
BLR,2018,71.26,9443632.34,0.135461756,0.003955817,0.004283397,0.008719459,0.0519294531454373,9.04498e-09,9.93
MMR,2018,70.94,54329870.18,0.279730513,0.103640117,0.003937097,0.00482183,0.0492022663731827,2.869e-08,1.06
SDN,2018,71.78,43168247.67,0.154497771,0.032163244,0.001785519,0.003935258,0.0562180499557802,3.61056e-08,0.66
ARE,2018,72.1,8962003.82,0.279775546,0.0534087,0.029627871,0.057970265,0.079093051361621,7.20551e-08,1.6
BDI,2018,73.44,12281071.48,0.43345115,0.040951971,0.009972253,0.010102224,0.0440976761239773,4.60516e-08,0.7966666666666665
KAZ,2018,72.86,18179333.71,0.135937473,0.00717101,0.010529701,0.00849102,0.0552777638648835,1.56491e-08,5.2
COD,2018,73.79,85163720.48,0.361249504,0.210776536,0.01298361,0.005707946,0.0380649299359593,3.68499e-08,
ARM,2018,77.09,3062258.95,0.154124081,0.011625727,0.009316295,0.009645527,0.0567498891290269,1.86678e-08,4.18
FIN,2018,7.81,5255688.65,0.132832122,0.002459357,0.001670794,0.020910337,0.0511358521145165,6.37941e-09,3.61
AUS,2018,7.99,24131536.2,0.082529674,0.039118086,0.008080565,0.014269762,0.0487824942625143,7.83106e-09,3.7642857142857147
NOR,2018,8.22,4928075.66,0.133418523,0.005643239,0.004311465,0.010718238,0.0558825951408008,6.08367e-09,3.52
NPL,2018,79.64,30528858.28,0.899657288,0.065038993,0.01445121,0.017497711,0.0608657999999637,9.23151e-08,0.29
ERI,2018,80.7,5714604.94,0.198002785,0.032539143,0.001797623,0.004503826,0.0584524947045626,2.65851e-08,1.16
BEN,2018,81.44,11793550.53,0.258560018,0.035092554,0.002370242,0.005177604,0.0522155334287789,4.60205e-08,0.44
SYR,2018,82.62,19900613.24,0.242798732,0.014812474,0.025619117,0.025399541,0.059001128070523,3.69908e-08,1.26
NGA,2018,84.91,195522555.81,0.413837723,0.041594142,0.003536672,0.010795941,0.0538995918557057,7.08966e-08,
IRQ,2018,85.79,39533850.99,0.297556005,0.030268196,0.031681943,0.030862294,0.0627211333112799,6.2914e-08,1.06
STP,2018,86.62,147773.16,0.108826237,0.001287989,0.000146115,0.000129575,0.0512712755661205,1.38653e-08,
BFA,2018,88.07,19732800.97,0.187540469,0.048158924,0.001018025,0.00417693,0.0455036882195451,3.87925e-08,
PHL,2018,88.47,94938924.58,0.155780776,0.0362262,0.03494162,0.008680082,0.0531406483052186,1.98251e-08,0.94
IND,2018,87.79,1345481371.48,0.758780144,0.039731588,0.03672373,0.033789323,0.0600357427162392,1.00952e-07,1.64
PRK,2018,88.52,24813792.39,0.620899185,0.016478102,0.041329477,0.037973616,0.0579232056515107,7.33924e-08,12.8
SWE,2018,8.68,9217507.6,0.127106932,0.002314484,0.001166103,0.006110522,0.0585811201921707,6.61092e-09,2.13
ISL,2018,8.8,294968.63,0.106898807,0.000943367,0.000657538,0.000772982,0.0582199990999992,5.40831e-09,2.87
CAN,2018,9.37,34740782.5,0.158666349,0.005880677,0.006984597,0.013204794,0.0457640240797626,1.17625e-08,2.54
CIV,2018,90.37,23584620.74,0.198707613,0.049630322,0.001471281,0.002402965,0.046797347140799,3.0851e-08,
TKM,2018,90.22,5669857.03,0.132857926,0.009282266,0.002896264,0.005251385,0.0577631266820209,4.53616e-08,3.82
GMB,2018,92.82,1905743.61,0.1708755519999999,0.02215084,0.012694581,0.004078388,0.0539702527521766,5.66763e-08,1.05
GHA,2018,93.08,28943392.98,0.248308071,0.041363551,0.00224359,0.004211372,0.0487416516361397,4.08267e-08,0.705
QAT,2018,93.64,2250878.11,0.255051338,0.038090433,0.017318905,0.034022888,0.0808050060405339,5.67038e-08,1.03
SAU,2018,93.93,33130927.68,0.168096721,0.012755964,0.04511664,0.016554434,0.067774070724167,5.78173e-08,2.48
GNB,2018,95.11,1859164.89,0.184210102,0.050001888,0.004017301,0.00250946,0.0526514481615089,4.77876e-08,
TGO,2018,94.63,7708834.26,0.249593551,0.035030729,0.002431221,0.00478512,0.0497589618999092,4.28462e-08,0.63
KGZ,2018,95.54,6525703.22,0.141813139,0.010309531,0.00723343,0.012537162,0.0593277249139913,1.68632e-08,4.2
NER,2018,97.98,22503127.64,0.191202199,0.0314252599999999,0.001465697,0.005758334,0.051569712353085,5.796e-08,0.24
KGZ,2017,100.1,6432330.37,0.145009594,0.011601798,0.007352176,0.012519194,0.0593744224137588,1.53461e-08,4.33
NER,2017,100.8,21624542.88,0.184029081,0.030945286,0.001360238,0.005356124,0.0505912922136797,6.50801e-08,0.18
SLE,2017,100.9,6129118.09,0.320504131,0.070886901,0.001942894,0.005701515,0.0510765730009533,5.4639e-08,
GIN,2017,103.0,13121930.63,0.30219203,0.087251606,0.002156091,0.005704319,0.0499460612473946,4.96531e-08,0.3
EGY,2017,104.3,93569574.46,0.346511647,0.014654515,0.047453546,0.037435027,0.0643466956587269,5.84442e-08,1.27
CAF,2017,105.6,5114463.86,0.304915105,0.156546055,0.000989945,0.004006798,0.0393042613283154,3.22943e-08,1.0
LSO,2017,106.7,2145210.84,0.187645233,0.029421264,0.023768662,0.017858602,0.0510098154875563,1.15548e-08,
TCD,2017,108.1,14939870.55,0.178201191,0.084874794,0.00062484,0.003222829,0.0480961443356707,4.98512e-08,0.44
YEM,2017,109.1,27681874.13,0.193086767,0.034991093,0.01638492,0.012459791,0.0614673305804315,3.82553e-08,0.5700000000000001
CMR,2017,108.5,24334454.49,0.262880695,0.073843649,0.004726355,0.0040913,0.0455564661130504,4.3747e-08,2.65
NZL,2017,11.38,4158196.63,0.060631555,0.006285181,0.005775222,0.002699426,0.0472721661760128,4.80829e-09,2.7
FRA,2017,10.84,65285288.12,0.163275419,0.006337953,0.003031605,0.015457246,0.053372021227805,1.30896e-08,6.12
ESP,2017,11.34,44049249.6,0.144104939,0.011981474,0.007016661,0.012299256,0.0588945839382677,1.06693e-08,2.96
PAK,2017,111.6,194558980.27,0.747174165,0.03746221,0.035390511,0.035953665,0.0597271829257887,1.02944e-07,0.5
CHE,2017,11.69,8391877.59,0.173948704,0.009218976,0.001687519,0.015949591,0.0528500977959155,1.13355e-08,4.65
OMN,2017,121.4,4730199.59,0.169552981,0.017300091,0.013775758,0.014659583,0.0677368590581983,4.989e-08,1.11
MNG,2017,121.8,3049459.13,0.175573747,0.006862173,0.014511608,0.00829104,0.0591364915184873,1.51286e-08,7.7
AZE,2017,127.8,9797672.6,0.14295614,0.013944432,0.007905808,0.005523529,0.056728712890083,1.69533e-08,3.98
UZB,2017,128.7,30083813.81,0.169656612,0.013708005,0.012256831,0.026288305,0.0541417733593252,2.92903e-08,4.26
JPN,2017,13.21,121515315.44,0.171005087,0.011104665,0.010988405,0.021227675,0.0610013223421156,1.78736e-08,13.01
BHS,2017,12.83,280762.72,0.088399313,0.001532853,0.001525095,0.000905364,0.0629919196386414,1.00652e-08,2.99
EST,2017,13.32,1209437.95,0.142407112,0.002647007,0.00798425,0.008197319,0.0555702885485483,8.19209e-09,4.61
PRT,2017,12.84,9130565.54,0.213540429,0.012097317,0.007419297,0.016059837,0.0570325512106874,1.74343e-08,3.38
LUX,2017,13.4,600312.92,0.178445533,0.005941216,0.002049367,0.019572814,0.0488927598018419,1.42741e-08,4.66
DNK,2017,13.9,5175563.89,0.1274444,0.001835099,0.001879192,0.009319237,0.0571708611704255,8.38571e-09,2.61
IRL,2017,13.76,4593670.44,0.111213607,0.001495383,0.002666305,0.004875948,0.0606684596739454,7.28903e-09,2.97
AFG,2017,146.8,34010375.27,0.195363841,0.014854775,0.002236815,0.004014797,0.058393366022432,2.05759e-08,0.42
NLD,2017,14.6,16752308.47,0.151855176,0.003456703,0.002687565,0.02100425,0.0516973585228511,1.21672e-08,3.24
GBR,2017,14.84,63007052.02,0.14206495,0.002934081,0.005410372,0.021853453,0.0397391302265741,1.02769e-08,2.53
ISR,2017,15.48,8106483.56,0.350436151,0.012099009,0.09147457,0.052443651,0.0591793799474512,4.57497e-08,3.14
USA,2017,15.52,324280886.3,0.171157824,0.018022721,0.010756497,0.018276304,0.0478066745832214,1.31866e-08,2.8
URY,2017,16.56,3292760.49,0.090300641,0.010676983,0.001487321,0.003482909,0.0484545941371973,7.09975e-09,2.47
ITA,2017,16.61,57598982.95,0.207854447,0.013599543,0.004882294,0.021341452,0.0580756047604338,1.57795e-08,3.19
